"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.535187510E2,6.500656167E1,2.561024167E1,2.592435963E1,2.072271585E0,1.448000031E2,1.399999976E0,8.000000000E0
1.545187510E2,6.500654167E1,2.561027000E1,2.552436154E1,2.157200813E0,1.506600037E2,1.700000048E0,8.800000191E0
1.555187510E2,6.500652000E1,2.561030500E1,2.482436309E1,2.288969755E0,1.518300018E2,1.500000000E0,8.199999809E0
1.565187510E2,6.500649667E1,2.561033833E1,2.472436528E1,2.423312187E0,1.471199951E2,1.500000000E0,8.300000191E0
1.575187510E2,6.500647333E1,2.561037000E1,2.432436767E1,2.516991615E0,1.499199982E2,1.399999976E0,8.199999809E0
1.585187510E2,6.500645333E1,2.561040000E1,2.472436938E1,2.581331968E0,1.555099945E2,1.399999976E0,7.699999809E0
1.595187510E2,6.500643333E1,2.561043333E1,2.492437068E1,2.697144508E0,1.490899963E2,1.399999976E0,7.599999905E0
1.605187510E2,6.500641167E1,2.561046333E1,2.492437283E1,2.724939346E0,1.477500000E2,1.500000000E0,7.699999809E0
1.615187510E2,6.500639167E1,2.561048833E1,2.502437513E1,2.716189146E0,1.563000031E2,1.500000000E0,7.800000191E0
1.625187510E2,6.500637167E1,2.561051167E1,2.492437764E1,2.687879562E0,1.546699982E2,1.500000000E0,7.800000191E0
1.635187510E2,6.500634833E1,2.561053667E1,2.492438084E1,2.665746450E0,1.551199951E2,1.500000000E0,8.100000381E0
1.645187510E2,6.500632833E1,2.561055167E1,2.492438435E1,2.670893669E0,1.706100006E2,1.500000000E0,8.000000000E0
1.655187510E2,6.500630667E1,2.561055667E1,2.522438952E1,2.635377884E0,1.816300049E2,1.500000000E0,8.000000000E0
1.665187510E2,6.500628333E1,2.561055667E1,2.542439573E1,2.661113977E0,1.881100006E2,1.500000000E0,7.800000191E0
1.675187510E2,6.500625833E1,2.561055000E1,2.552440320E1,2.682732105E0,1.933699951E2,1.500000000E0,7.800000191E0
1.685187510E2,6.500623667E1,2.561053500E1,2.562441079E1,2.661628723E0,2.051300049E2,1.799999952E0,8.399999619E0
1.695187510E2,6.500621500E1,2.561050667E1,2.602441999E1,2.639495611E0,2.022500000E2,1.500000000E0,7.900000095E0
1.705187510E2,6.500619167E1,2.561049333E1,2.662442783E1,2.664202213E0,1.990099945E2,1.500000000E0,7.400000095E0
1.715187510E2,6.500617167E1,2.561046500E1,2.672443659E1,2.701776981E0,2.046900024E2,1.500000000E0,7.400000095E0
1.725187510E2,6.500615000E1,2.561044500E1,2.692444479E1,2.636407137E0,2.091999969E2,1.500000000E0,7.400000095E0
1.735187510E2,6.500612833E1,2.561041500E1,2.682445419E1,2.656481504E0,2.049199982E2,1.500000000E0,7.300000191E0
1.745187510E2,6.500610833E1,2.561039000E1,2.702446255E1,2.692512035E0,1.997799988E2,1.500000000E0,7.500000000E0
1.755187510E2,6.500608833E1,2.561036333E1,2.682447112E1,2.675526142E0,2.083099976E2,1.500000000E0,7.500000000E0
1.765187510E2,6.500607000E1,2.561034333E1,2.672447843E1,2.589052677E0,2.118099976E2,1.500000000E0,7.500000000E0
1.775187510E2,6.500604667E1,2.561032000E1,2.682448748E1,2.569493294E0,2.027700043E2,1.500000000E0,7.400000095E0
1.785187510E2,6.500602500E1,2.561029833E1,2.702449588E1,2.605009079E0,1.981799927E2,1.500000000E0,7.400000095E0
1.795187510E2,6.500600500E1,2.561027333E1,2.732450425E1,2.555595875E0,2.103300018E2,1.500000000E0,7.500000000E0
1.805187510E2,6.500598500E1,2.561024833E1,2.732451261E1,2.501549959E0,2.081399994E2,1.500000000E0,7.500000000E0
1.815187510E2,6.500596333E1,2.561023000E1,2.742452061E1,2.509785652E0,2.013500061E2,1.500000000E0,7.400000095E0
1.825187510E2,6.500594167E1,2.561021000E1,2.782452882E1,2.540668964E0,1.998800049E2,1.500000000E0,7.400000095E0
1.835187510E2,6.500592000E1,2.561018000E1,2.782453823E1,2.495373249E0,2.101199951E2,1.500000000E0,7.400000095E0
1.845187510E2,6.500590000E1,2.561015333E1,2.732454680E1,2.486623049E0,2.088399963E2,1.399999976E0,7.500000000E0
1.855187510E2,6.500587667E1,2.561012500E1,2.702455647E1,2.551992893E0,2.023500061E2,1.399999976E0,7.300000191E0
1.865187510E2,6.500585333E1,2.561009833E1,2.662456593E1,2.580302477E0,2.057100067E2,1.399999976E0,7.400000095E0
1.875187510E2,6.500583333E1,2.561007333E1,2.652457430E1,2.541698217E0,2.091199951E2,1.399999976E0,7.400000095E0
1.885187510E2,6.500581167E1,2.561005167E1,2.652458271E1,2.549419165E0,2.073300018E2,1.399999976E0,7.400000095E0
1.895187510E2,6.500579167E1,2.561002833E1,2.672459088E1,2.587508678E0,2.092700043E2,1.500000000E0,7.400000095E0
1.905187510E2,6.500577500E1,2.561000500E1,2.682459816E1,2.583905458E0,2.116699982E2,1.500000000E0,7.500000000E0
1.915187510E2,6.500575333E1,2.560998167E1,2.682460678E1,2.542727709E0,2.079799957E2,1.399999976E0,7.400000095E0
1.925187510E2,6.500573000E1,2.560995833E1,2.652461584E1,2.580302477E0,2.014400024E2,1.399999976E0,7.300000191E0
1.935187510E2,6.500570667E1,2.560993333E1,2.632462510E1,2.606038570E0,2.010800018E2,1.399999976E0,7.199999809E0
1.945187510E2,6.500568500E1,2.560991500E1,2.622463311E1,2.573611021E0,2.083899994E2,1.500000000E0,7.500000000E0
1.955187510E2,6.500566667E1,2.560989167E1,2.642464084E1,2.520080090E0,2.076600037E2,1.399999976E0,7.300000191E0
1.965187510E2,6.500564500E1,2.560986833E1,2.672464946E1,2.548389673E0,2.002299957E2,1.500000000E0,7.300000191E0
1.975197510E2,6.500562333E1,2.560983667E1,2.692465910E1,2.577728987E0,2.063800049E2,1.500000000E0,7.199999809E0
1.985197510E2,6.500560333E1,2.560981833E1,2.702466667E1,2.546845675E0,2.079100037E2,1.399999976E0,7.300000191E0
1.995197510E2,6.500558167E1,2.560979167E1,2.692467569E1,2.559713602E0,2.067299957E2,1.399999976E0,7.000000000E0
2.005197510E2,6.500556000E1,2.560976833E1,2.682468432E1,2.579787731E0,2.054600067E2,1.500000000E0,7.199999809E0
2.015197510E2,6.500554167E1,2.560974167E1,2.662469246E1,2.569493294E0,2.113999939E2,1.500000000E0,7.300000191E0
2.025197510E2,6.500552167E1,2.560971833E1,2.642470064E1,2.544271946E0,2.078399963E2,1.399999976E0,7.300000191E0
2.035197510E2,6.500550333E1,2.560969500E1,2.642470837E1,2.543757200E0,2.019199982E2,1.500000000E0,7.300000191E0
2.045197510E2,6.500548167E1,2.560966833E1,2.592471740E1,2.533977509E0,2.083699951E2,1.500000000E0,7.300000191E0
