"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.090578652E0,-3.629900143E-2,-3.003199957E-2,-9.316509962E-1
1.095589188E0,4.288699850E-2,-1.566600055E-2,-1.119297981E0
1.100599652E0,1.648939997E-1,1.714700088E-2,-1.213390946E0
1.105610113E0,1.704010069E-1,4.280199856E-2,-1.257194042E0
1.110620803E0,1.446560025E-1,9.522999823E-2,-1.214476943E0
1.115631329E0,6.142399833E-2,7.337500155E-2,-1.142675996E0
1.120641791E0,-7.423199713E-2,7.934200019E-2,-1.031978965E0
1.125652248E0,-1.702190042E-1,8.114899695E-2,-8.774229884E-1
1.130662938E0,-2.278549969E-1,7.850600034E-2,-6.910319924E-1
1.135673402E0,-2.413489968E-1,6.352300197E-2,-6.022220254E-1
1.140683938E0,-1.942429990E-1,5.354699865E-2,-5.106109977E-1
1.145694377E0,-8.648499846E-2,4.738099873E-2,-4.477519989E-1
1.150704838E0,9.022100270E-2,3.221999854E-2,-3.279489875E-1
1.155715529E0,3.047260046E-1,-3.110999940E-3,-1.973260045E-1
1.160725992E0,4.473640025E-1,-1.930199936E-2,-6.016000174E-3
1.165736520E0,6.145880222E-1,-3.308799863E-2,2.176200002E-1
1.170747212E0,6.868079901E-1,-5.266100168E-2,4.927250147E-1
1.175757676E0,7.153970003E-1,-4.780900106E-2,6.979079843E-1
1.180768156E0,6.734570265E-1,-1.003509983E-1,7.210479975E-1
1.185778618E0,5.891209841E-1,-1.276589930E-1,7.229970098E-1
1.190789164E0,4.687680006E-1,-1.532530040E-1,6.488630176E-1
1.195799628E0,3.520390093E-1,-8.541599661E-2,4.364629984E-1
1.200810322E0,2.257030010E-1,2.916499972E-2,1.791419983E-1
1.205820786E0,1.265870035E-1,3.466600180E-2,-1.924850047E-1
1.210831327E0,6.025899947E-2,-3.702500090E-2,-5.516780019E-1
1.215841791E0,-4.554300010E-2,7.050999906E-3,-7.669960260E-1
1.220852476E0,-1.241319999E-1,5.721800029E-2,-9.316980243E-1
1.225862940E0,-1.412719935E-1,9.000399709E-2,-1.031453967E0
1.230873476E0,-1.343239993E-1,1.338700056E-1,-1.001726985E0
1.235883940E0,-1.179940030E-1,8.084099740E-2,-9.095780253E-1
1.240894401E0,-9.145700186E-2,1.649600081E-2,-7.912080288E-1
1.245905091E0,-7.488500327E-2,-7.143600285E-2,-6.418759823E-1
1.250915555E0,-7.919900119E-2,-6.711100042E-2,-4.400300086E-1
1.255926092E0,-1.254149973E-1,-4.263599962E-2,-1.948979944E-1
1.260936555E0,-1.050129980E-1,-3.416299820E-2,1.944099925E-2
1.265947231E0,-1.101260036E-1,-2.860999899E-3,1.667730063E-1
1.270957695E0,-1.016499996E-1,-2.275699936E-2,2.184219956E-1
1.275968170E0,-4.724600166E-2,-1.136100013E-2,1.239219978E-1
1.280978707E0,1.093219966E-1,-5.348999985E-3,4.835699871E-2
1.285989409E0,1.581649929E-1,1.316600014E-2,1.037300006E-2
1.290999873E0,1.674630046E-1,7.488799840E-2,1.036600024E-2
1.296010404E0,2.073089927E-1,1.119100004E-1,-5.195799842E-2
1.301020868E0,2.690060139E-1,1.240419969E-1,-1.958580017E-1
1.306031339E0,3.216939867E-1,1.282310039E-1,-3.519270122E-1
1.311042030E0,3.367190063E-1,1.474149972E-1,-4.242979884E-1
1.316052517E0,3.117859960E-1,1.685010046E-1,-4.390479922E-1
1.321062979E0,2.562380135E-1,1.962459981E-1,-4.774320126E-1
1.326073515E0,1.788920015E-1,2.013739944E-1,-4.986160100E-1
1.331083993E0,1.036970019E-1,1.715009958E-1,-5.098260045E-1
1.336094683E0,4.402999952E-2,1.845619977E-1,-4.825469851E-1
1.341105224E0,-4.081499949E-2,1.363829970E-1,-4.118910134E-1
1.346115694E0,-1.022270024E-1,1.094269976E-1,-3.387770057E-1
1.351126156E0,-1.125309989E-1,9.429399669E-2,-1.793809980E-1
1.356136850E0,-1.119180024E-1,7.297100127E-2,5.174199864E-2
1.361147314E0,-1.269499958E-1,5.426900089E-2,2.132319957E-1
1.366157775E0,-7.024700195E-2,6.762500107E-2,3.267450035E-1
1.371168304E0,-1.938400045E-2,4.660499841E-2,3.993380070E-1
1.376178767E0,-1.909199916E-2,1.150000026E-4,4.405030012E-1
1.381189453E0,-7.350999862E-3,3.796799853E-2,4.264230132E-1
1.386199916E0,-1.089600008E-2,5.737299845E-2,3.334560096E-1
1.391210438E0,-1.406900026E-2,5.067199841E-2,1.903190017E-1
1.396220901E0,-1.915499941E-2,6.848900020E-2,7.590500265E-2
1.401231576E0,1.480500028E-2,3.796600178E-2,-5.999499932E-2
1.406242040E0,7.314500213E-2,6.455300003E-2,-1.722739935E-1
1.411252562E0,1.180540025E-1,7.201100141E-2,-2.512229979E-1
1.416263026E0,1.417320073E-1,6.764599681E-2,-2.992509902E-1
1.421273507E0,1.370279938E-1,7.191900164E-2,-3.019199967E-1
1.426284197E0,1.351960003E-1,4.642099887E-2,-3.045890033E-1
